time,open,high,low,close,volume
2025-09-12 17:00:00+00:00,48.64,48.92,48.59,48.79,269784.65
2025-09-12 18:00:00+00:00,48.79,50.13,48.69,49.8,624556.11
2025-09-12 19:00:00+00:00,49.8,50.34,49.45,50.11,339774.98
2025-09-12 20:00:00+00:00,50.11,50.17,49.53,49.56,197538.53
2025-09-12 21:00:00+00:00,49.56,49.56,49.24,49.38,75951.48
2025-09-12 22:00:00+00:00,49.38,49.83,49.32,49.75,110321.3
2025-09-12 23:00:00+00:00,49.75,49.77,49.51,49.73,162636.83
2025-09-13 00:00:00+00:00,49.73,49.84,49.39,49.55,200573.69
2025-09-13 01:00:00+00:00,49.55,49.94,49.39,49.4,100322.77
2025-09-13 02:00:00+00:00,49.4,49.52,49.15,49.33,122637.45
2025-09-13 03:00:00+00:00,49.33,49.42,49.18,49.32,119474.29
2025-09-13 04:00:00+00:00,49.32,49.35,49.14,49.23,87935.47
2025-09-13 05:00:00+00:00,49.23,49.35,48.96,49.21,165781.46
2025-09-13 06:00:00+00:00,49.21,49.33,48.88,48.91,159390.45
2025-09-13 07:00:00+00:00,48.91,49.59,48.89,49.55,235970.42
2025-09-13 08:00:00+00:00,49.55,49.76,49.41,49.65,111268.67
2025-09-13 09:00:00+00:00,49.65,50.73,49.45,50.14,468391.01
2025-09-13 10:00:00+00:00,50.14,50.24,49.83,49.98,204307.38
2025-09-13 11:00:00+00:00,49.98,50.15,49.73,50.07,158976.82
2025-09-13 12:00:00+00:00,50.07,50.92,49.91,50.9,591516.17
2025-09-13 13:00:00+00:00,50.9,51.02,49.7,50.46,368767.52
2025-09-13 14:00:00+00:00,50.46,50.56,50.1,50.25,223438.13
2025-09-13 15:00:00+00:00,50.25,50.54,49.51,50.08,386645.48
2025-09-13 16:00:00+00:00,50.08,50.28,49.51,49.6,288126.38
2025-09-13 17:00:00+00:00,49.6,49.83,49.19,49.55,188044.41
2025-09-13 18:00:00+00:00,49.55,50.03,49.42,50.02,144408.48
2025-09-13 19:00:00+00:00,50.02,50.24,49.82,50.17,121555.93
2025-09-13 20:00:00+00:00,50.17,50.44,50.08,50.39,150952.69
2025-09-13 21:00:00+00:00,50.39,50.63,50.37,50.54,72623.93
2025-09-13 22:00:00+00:00,50.54,52.77,50.48,51.89,1268074.09
2025-09-13 23:00:00+00:00,51.89,53.04,51.6,52.84,636894.38
2025-09-14 00:00:00+00:00,52.84,53.5,52.78,53.43,758625.71
2025-09-14 01:00:00+00:00,53.43,53.95,53.06,53.73,453693.13
2025-09-14 02:00:00+00:00,53.73,53.91,53.12,53.7,336743.45
2025-09-14 03:00:00+00:00,53.7,53.91,53.25,53.58,532811.9
2025-09-14 04:00:00+00:00,53.58,54.0,53.3,53.81,489294.33
2025-09-14 05:00:00+00:00,53.81,54.26,53.45,53.83,338708.85
2025-09-14 06:00:00+00:00,53.83,55.23,53.75,53.97,1562270.29
2025-09-14 07:00:00+00:00,53.97,54.59,53.79,54.02,374092.35
2025-09-14 08:00:00+00:00,54.02,55.06,53.97,54.6,791165.29
2025-09-14 09:00:00+00:00,54.6,54.8,53.98,54.79,372891.65
2025-09-14 10:00:00+00:00,54.79,55.51,54.59,55.37,586683.03
2025-09-14 11:00:00+00:00,55.37,55.52,53.33,53.61,947991.88
2025-09-14 12:00:00+00:00,53.61,53.92,53.13,53.27,489360.83
2025-09-14 13:00:00+00:00,53.27,53.62,52.52,53.09,730984.24
2025-09-14 14:00:00+00:00,53.09,53.22,52.37,52.93,468418.62
2025-09-14 15:00:00+00:00,52.93,52.97,52.36,52.39,371969.67
2025-09-14 16:00:00+00:00,52.39,53.22,52.38,52.89,315872.64
2025-09-14 17:00:00+00:00,52.89,53.45,52.82,53.12,310138.74
2025-09-14 18:00:00+00:00,53.12,53.14,52.68,52.73,189905.5
2025-09-14 19:00:00+00:00,52.73,53.06,52.53,52.81,198418.54
2025-09-14 20:00:00+00:00,52.81,53.19,50.96,51.26,1144692.51
2025-09-14 21:00:00+00:00,51.26,51.8,50.85,51.54,566403.27
2025-09-14 22:00:00+00:00,51.54,51.69,51.25,51.57,192147.37
2025-09-14 23:00:00+00:00,51.57,51.65,50.22,50.43,616054.77
2025-09-15 00:00:00+00:00,50.43,50.66,50.18,50.27,237573.69
2025-09-15 01:00:00+00:00,50.27,50.82,49.66,50.68,470595.6
2025-09-15 02:00:00+00:00,50.68,51.01,50.6,50.76,233650.26
2025-09-15 03:00:00+00:00,50.76,51.24,50.27,51.2,352151.63
2025-09-15 04:00:00+00:00,51.2,51.69,51.11,51.34,240221.17
2025-09-15 05:00:00+00:00,51.34,51.94,51.29,51.93,195273.39
2025-09-15 06:00:00+00:00,51.93,52.01,50.96,51.06,296731.3
2025-09-15 07:00:00+00:00,51.06,51.39,50.49,50.72,422888.42
2025-09-15 08:00:00+00:00,50.72,51.01,50.34,50.38,630432.42
2025-09-15 09:00:00+00:00,50.38,51.21,50.34,50.87,280033.89
2025-09-15 10:00:00+00:00,50.87,51.15,50.58,50.67,296567.49
2025-09-15 11:00:00+00:00,50.67,51.33,50.58,50.99,521786.5
2025-09-15 12:00:00+00:00,50.99,51.0,50.61,50.66,189298.64
2025-09-15 13:00:00+00:00,50.66,50.81,49.87,50.0,500315.61
2025-09-15 14:00:00+00:00,50.0,50.21,49.11,49.72,802956.92
2025-09-15 15:00:00+00:00,49.72,50.36,49.44,50.22,328275.97
2025-09-15 16:00:00+00:00,50.22,50.23,49.61,49.72,208666.32
2025-09-15 17:00:00+00:00,49.72,50.56,49.71,50.49,161566.21
2025-09-15 18:00:00+00:00,50.49,50.61,50.13,50.29,145639.98
2025-09-15 19:00:00+00:00,50.29,50.57,49.92,50.48,155453.98
2025-09-15 20:00:00+00:00,50.48,50.74,50.43,50.69,107061.8
2025-09-15 21:00:00+00:00,50.69,50.78,50.61,50.73,74843.54
2025-09-15 22:00:00+00:00,50.73,50.73,49.92,50.05,179840.23
2025-09-15 23:00:00+00:00,50.05,50.06,49.87,49.91,72158.65
2025-09-16 00:00:00+00:00,49.91,50.04,49.62,49.75,158959.74
2025-09-16 01:00:00+00:00,49.75,50.07,49.72,49.76,254730.03
2025-09-16 02:00:00+00:00,49.76,50.36,49.75,50.07,129161.42
2025-09-16 03:00:00+00:00,50.07,50.69,50.06,50.68,148301.19
2025-09-16 04:00:00+00:00,50.68,51.12,49.97,50.84,442889.13
2025-09-16 05:00:00+00:00,50.84,51.39,50.7,51.32,139015.93
2025-09-16 06:00:00+00:00,51.32,51.58,50.75,50.98,206549.5
2025-09-16 07:00:00+00:00,50.98,52.06,50.97,52.06,306492.07
2025-09-16 08:00:00+00:00,52.06,53.39,52.06,52.69,707433.41
2025-09-16 09:00:00+00:00,52.69,52.75,51.76,51.88,314552.36
2025-09-16 10:00:00+00:00,51.88,52.12,51.65,51.89,146358.33
2025-09-16 11:00:00+00:00,51.89,52.07,51.72,51.84,161709.93
2025-09-16 12:00:00+00:00,51.84,52.23,51.22,51.53,234053.05
2025-09-16 13:00:00+00:00,51.53,51.97,51.26,51.64,215208.33
2025-09-16 14:00:00+00:00,51.64,51.85,51.14,51.77,172688.29
2025-09-16 15:00:00+00:00,51.77,51.81,51.44,51.66,136707.3
2025-09-16 16:00:00+00:00,51.66,51.76,51.17,51.29,243668.75
2025-09-16 17:00:00+00:00,51.29,51.95,51.26,51.72,253954.38
2025-09-16 18:00:00+00:00,51.72,52.21,51.58,51.78,182245.22
2025-09-16 19:00:00+00:00,51.78,51.82,51.6,51.71,108876.73
2025-09-16 20:00:00+00:00,51.71,51.71,51.42,51.67,120479.1
2025-09-16 21:00:00+00:00,51.67,51.7,51.46,51.59,114183.05
2025-09-16 22:00:00+00:00,51.59,51.69,51.42,51.58,81301.88
2025-09-16 23:00:00+00:00,51.58,51.6,51.32,51.36,105277.34
2025-09-17 00:00:00+00:00,51.36,51.86,51.3,51.68,103551.61
2025-09-17 01:00:00+00:00,51.68,51.97,51.61,51.97,139444.43
2025-09-17 02:00:00+00:00,51.97,51.98,51.59,51.63,122085.46
2025-09-17 03:00:00+00:00,51.63,51.78,50.75,50.79,217389.04
2025-09-17 04:00:00+00:00,50.79,50.95,50.72,50.77,130498.41
2025-09-17 05:00:00+00:00,50.77,51.19,50.72,51.12,90519.32
2025-09-17 06:00:00+00:00,51.12,51.73,51.12,51.66,119198.82
2025-09-17 07:00:00+00:00,51.66,51.86,51.6,51.82,154553.14
2025-09-17 08:00:00+00:00,51.82,51.98,51.25,51.71,366937.27
2025-09-17 09:00:00+00:00,51.71,52.46,51.65,52.15,408114.25
2025-09-17 10:00:00+00:00,52.15,52.36,51.52,51.61,375133.55
2025-09-17 11:00:00+00:00,51.61,51.81,51.41,51.45,361334.11
2025-09-17 12:00:00+00:00,51.45,52.15,51.21,51.69,384090.84
2025-09-17 13:00:00+00:00,51.69,51.82,51.25,51.36,324719.54
2025-09-17 14:00:00+00:00,51.36,51.48,50.76,50.81,470622.32
2025-09-17 15:00:00+00:00,50.81,50.93,50.45,50.65,390042.67
2025-09-17 16:00:00+00:00,50.65,51.01,50.35,50.91,199352.44
2025-09-17 17:00:00+00:00,50.91,51.37,50.68,50.83,250694.36
2025-09-17 18:00:00+00:00,50.83,51.53,50.29,50.46,450193.7
2025-09-17 19:00:00+00:00,50.46,50.94,50.45,50.81,446598.99
2025-09-17 20:00:00+00:00,50.81,51.04,50.25,50.36,216234.28
2025-09-17 21:00:00+00:00,50.36,51.26,50.15,51.24,130575.45
2025-09-17 22:00:00+00:00,51.24,51.41,51.01,51.38,212893.78
2025-09-17 23:00:00+00:00,51.38,51.45,51.11,51.2,123758.46
2025-09-18 00:00:00+00:00,51.2,51.22,50.65,50.76,192674.64
2025-09-18 01:00:00+00:00,50.76,51.11,50.76,51.0,141422.09
2025-09-18 02:00:00+00:00,51.0,51.06,50.85,50.91,108425.36
2025-09-18 03:00:00+00:00,50.91,51.23,50.54,51.21,277885.97
2025-09-18 04:00:00+00:00,51.21,51.52,50.56,50.96,603984.15
2025-09-18 05:00:00+00:00,50.96,50.98,50.71,50.97,178481.24
2025-09-18 06:00:00+00:00,50.97,50.97,50.25,50.3,226365.88
2025-09-18 07:00:00+00:00,50.3,50.56,50.18,50.34,183234.84
2025-09-18 08:00:00+00:00,50.34,50.54,50.09,50.28,247430.56
2025-09-18 09:00:00+00:00,50.28,50.66,50.22,50.47,274861.28
2025-09-18 10:00:00+00:00,50.47,50.57,50.16,50.47,162969.88
2025-09-18 11:00:00+00:00,50.47,50.98,50.27,50.53,522798.27
2025-09-18 12:00:00+00:00,50.53,50.88,50.36,50.79,306029.9
2025-09-18 13:00:00+00:00,50.79,50.95,50.36,50.72,273430.41
2025-09-18 14:00:00+00:00,50.72,50.91,50.0,50.33,534042.0
2025-09-18 15:00:00+00:00,50.33,50.36,50.08,50.25,228343.12
2025-09-18 16:00:00+00:00,50.25,50.39,50.07,50.32,208934.52
2025-09-18 17:00:00+00:00,50.32,50.62,50.19,50.51,297219.66
2025-09-18 18:00:00+00:00,50.51,50.86,50.43,50.76,195522.54
2025-09-18 19:00:00+00:00,50.76,50.89,50.52,50.88,384580.38
2025-09-18 20:00:00+00:00,50.88,50.98,50.61,50.73,265567.91
2025-09-18 21:00:00+00:00,50.73,50.85,50.54,50.56,166499.71
2025-09-18 22:00:00+00:00,50.56,50.67,50.27,50.4,123835.74
2025-09-18 23:00:00+00:00,50.4,50.57,50.18,50.39,216029.48
2025-09-19 00:00:00+00:00,50.39,51.0,50.31,50.86,246692.44
2025-09-19 01:00:00+00:00,50.86,50.87,50.4,50.45,150178.82
2025-09-19 02:00:00+00:00,50.45,50.51,50.13,50.16,192568.55
2025-09-19 03:00:00+00:00,50.16,50.33,49.59,49.6,277637.19
2025-09-19 04:00:00+00:00,49.6,49.61,48.96,49.39,414473.91
2025-09-19 05:00:00+00:00,49.39,49.42,49.01,49.19,185852.56
2025-09-19 06:00:00+00:00,49.19,49.26,48.61,48.65,403103.67
2025-09-19 07:00:00+00:00,48.65,49.25,48.58,48.97,258013.43
2025-09-19 08:00:00+00:00,48.97,49.26,48.91,49.07,166206.47
2025-09-19 09:00:00+00:00,49.07,49.57,48.78,48.85,441831.13
2025-09-19 10:00:00+00:00,48.85,48.95,48.55,48.75,235466.18
2025-09-19 11:00:00+00:00,48.75,48.8,48.18,48.37,421360.9
2025-09-19 12:00:00+00:00,48.37,49.2,48.36,48.69,318955.75
2025-09-19 13:00:00+00:00,48.69,49.4,48.66,49.14,210190.64
2025-09-19 14:00:00+00:00,49.14,49.18,48.53,48.76,196795.94
2025-09-19 15:00:00+00:00,48.76,49.06,48.5,49.02,175976.12
2025-09-19 16:00:00+00:00,49.02,49.22,48.9,49.2,168682.29
2025-09-19 17:00:00+00:00,49.2,49.21,48.84,48.89,181950.92
2025-09-19 18:00:00+00:00,48.89,49.41,48.85,49.37,218818.74
2025-09-19 19:00:00+00:00,49.37,49.87,49.14,49.56,460806.3
2025-09-19 20:00:00+00:00,49.56,49.98,49.45,49.45,191909.87
2025-09-19 21:00:00+00:00,49.45,49.65,49.06,49.51,156707.17
2025-09-19 22:00:00+00:00,49.51,49.62,49.13,49.28,134924.51
2025-09-19 23:00:00+00:00,49.28,49.3,48.42,48.95,161061.13
2025-09-20 00:00:00+00:00,48.95,49.24,48.84,49.19,164009.78
2025-09-20 01:00:00+00:00,49.19,49.24,48.58,48.65,262098.17
2025-09-20 02:00:00+00:00,48.65,48.89,48.49,48.88,133711.82
2025-09-20 03:00:00+00:00,48.88,49.13,48.76,49.09,98990.49
2025-09-20 04:00:00+00:00,49.09,49.48,49.03,49.32,147838.99
2025-09-20 05:00:00+00:00,49.32,49.68,49.27,49.6,88840.24
2025-09-20 06:00:00+00:00,49.6,50.23,49.6,50.13,186123.37
2025-09-20 07:00:00+00:00,50.13,50.88,50.1,50.26,657991.27
2025-09-20 08:00:00+00:00,50.26,51.15,50.11,50.6,470687.85
2025-09-20 09:00:00+00:00,50.6,51.18,50.45,50.74,441427.33
2025-09-20 10:00:00+00:00,50.74,50.92,50.1,50.17,299826.72
2025-09-20 11:00:00+00:00,50.17,50.37,49.66,49.76,249159.65
2025-09-20 12:00:00+00:00,49.76,50.09,49.65,49.79,223570.21
2025-09-20 13:00:00+00:00,49.79,50.4,49.69,50.19,134681.18
2025-09-20 14:00:00+00:00,50.19,50.69,49.87,50.5,245209.71
2025-09-20 15:00:00+00:00,50.5,50.85,49.99,50.13,485476.46
2025-09-20 16:00:00+00:00,50.13,50.44,49.81,50.05,212426.9
2025-09-20 17:00:00+00:00,50.05,50.27,49.84,50.13,186633.44
2025-09-20 18:00:00+00:00,50.13,50.42,50.06,50.07,260397.5
2025-09-20 19:00:00+00:00,50.07,50.51,50.03,50.26,103416.08
2025-09-20 20:00:00+00:00,50.26,50.8,50.08,50.73,180932.04
2025-09-20 21:00:00+00:00,50.73,50.84,50.52,50.55,174461.45
2025-09-20 22:00:00+00:00,50.55,50.72,50.49,50.68,141314.42
2025-09-20 23:00:00+00:00,50.68,50.76,50.36,50.61,138648.37
2025-09-21 00:00:00+00:00,50.61,50.86,50.5,50.78,143297.08
2025-09-21 01:00:00+00:00,50.78,51.16,50.51,51.13,360376.43
